filename,label,label_name,project,split
safe\CWE_89__array-GET__CAST-cast_float_sort_of__multiple_AS-concatenation.php,0,safe,safe,none
safe\CWE_89__array-GET__CAST-cast_float_sort_of__multiple_AS-concatenation_simple_quote.php,0,safe,safe,none
safe\CWE_89__array-GET__CAST-cast_float_sort_of__multiple_AS-interpretation.php,0,safe,safe,none
safe\CWE_89__array-GET__CAST-cast_float_sort_of__multiple_AS-interpretation_simple_quote.php,0,safe,safe,none
safe\CWE_89__array-GET__CAST-cast_float_sort_of__multiple_AS-sprintf_%d.php,0,safe,safe,none
safe\CWE_89__array-GET__CAST-cast_float_sort_of__multiple_AS-sprintf_%d_simple_quote.php,0,safe,safe,none
safe\CWE_89__array-GET__CAST-cast_float_sort_of__multiple_AS-sprintf_%s_simple_quote.php,0,safe,safe,none
safe\CWE_89__array-GET__CAST-cast_float_sort_of__multiple_AS-sprintf_%u.php,0,safe,safe,none
safe\CWE_89__array-GET__CAST-cast_float_sort_of__multiple_AS-sprintf_%u_simple_quote.php,0,safe,safe,none
safe\CWE_89__array-GET__CAST-cast_float_sort_of__multiple_select-concatenation.php,0,safe,safe,none
safe\CWE_89__array-GET__CAST-cast_float_sort_of__multiple_select-concatenation_simple_quote.php,0,safe,safe,none
safe\CWE_89__array-GET__CAST-cast_float_sort_of__multiple_select-interpretation.php,0,safe,safe,none
safe\CWE_89__array-GET__CAST-cast_float_sort_of__multiple_select-interpretation_simple_quote.php,0,safe,safe,none
safe\CWE_89__array-GET__CAST-cast_float_sort_of__multiple_select-sprintf_%d.php,0,safe,safe,none
safe\CWE_89__array-GET__CAST-cast_float_sort_of__multiple_select-sprintf_%d_simple_quote.php,0,safe,safe,none
safe\CWE_89__array-GET__CAST-cast_float_sort_of__multiple_select-sprintf_%s_simple_quote.php,0,safe,safe,none
safe\CWE_89__array-GET__CAST-cast_float_sort_of__multiple_select-sprintf_%u.php,0,safe,safe,none
safe\CWE_89__array-GET__CAST-cast_float_sort_of__multiple_select-sprintf_%u_simple_quote.php,0,safe,safe,none
safe\CWE_89__array-GET__CAST-cast_float_sort_of__select_from_where-concatenation.php,0,safe,safe,none
safe\CWE_89__array-GET__CAST-cast_float_sort_of__select_from_where-concatenation_simple_quote.php,0,safe,safe,none
safe\CWE_89__array-GET__CAST-cast_float_sort_of__select_from_where-interpretation.php,0,safe,safe,none
safe\CWE_89__array-GET__CAST-cast_float_sort_of__select_from_where-interpretation_simple_quote.php,0,safe,safe,none
safe\CWE_89__array-GET__CAST-cast_float_sort_of__select_from_where-sprintf_%d.php,0,safe,safe,none
safe\CWE_89__array-GET__CAST-cast_float_sort_of__select_from_where-sprintf_%d_simple_quote.php,0,safe,safe,none
safe\CWE_89__array-GET__CAST-cast_float_sort_of__select_from_where-sprintf_%s_simple_quote.php,0,safe,safe,none
safe\CWE_89__array-GET__CAST-cast_float_sort_of__select_from_where-sprintf_%u.php,0,safe,safe,none
safe\CWE_89__array-GET__CAST-cast_float_sort_of__select_from_where-sprintf_%u_simple_quote.php,0,safe,safe,none
safe\CWE_89__array-GET__CAST-cast_float__multiple_AS-concatenation.php,0,safe,safe,none
safe\CWE_89__array-GET__CAST-cast_float__multiple_AS-concatenation_simple_quote.php,0,safe,safe,none
safe\CWE_89__array-GET__CAST-cast_float__multiple_AS-interpretation.php,0,safe,safe,none
safe\CWE_89__array-GET__CAST-cast_float__multiple_AS-interpretation_simple_quote.php,0,safe,safe,none
safe\CWE_89__array-GET__CAST-cast_float__multiple_AS-sprintf_%d.php,0,safe,safe,none
safe\CWE_89__array-GET__CAST-cast_float__multiple_AS-sprintf_%d_simple_quote.php,0,safe,safe,none
safe\CWE_89__array-GET__CAST-cast_float__multiple_AS-sprintf_%s_simple_quote.php,0,safe,safe,none
safe\CWE_89__array-GET__CAST-cast_float__multiple_AS-sprintf_%u.php,0,safe,safe,none
